LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100129-6,Schistosoma sp Ab,Titr,Pt,Ser,SemiQn,HA,MICRO,2.75,MAJ,,ACTIVE,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Bilharziasis; blood fluke; Cercarial dermatitis; Dilution factor; Dilution Factor (Titer); Hemagglutination; IHA; Microbiology; Point in time; Random; Schistosomiasis; Serum; SmQn; species; spp; SR; Titer; Titered; Titre; Ttr,Schistosoma Ab Titr Ser HA,Observation,,,{titer},Schistosoma sp Ab [Titer] in Serum by Hemagglutination,{titer},,,,0,0,,,,,,2.72,,Schistosoma sp Ab HA (S) [Titer]
100130-4,Schistosoma mansoni Ab,PrThr,Pt,Ser,Ord,IB,MICRO,2.72,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Bilharziasis; Blt; Immune blot; Immunobl; Immunoblot; Microbiology; Ordinal; p3; Point in time; PR; QL; Qual; Qualitative; Random; RIBA; S mansoni; Schistosomiasis; Screen; Serum; SR; WB; WBLOT; West blot; West blt; Western blot,S mansoni Ab Ser Ql IB,Observation,,,,Schistosoma mansoni Ab [Presence] in Serum by Immunoblot,,,,,0,0,,,,,,2.72,,S. mansoni Ab IB Ql (S)
10013-1,R' wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,2.48,MIN,,ACTIVE,,2,,,,,Y,Cardiac; Cardio; Cardiology; ECG; EKG.MEASUREMENTS; Electrical potential; Electrocardiogram; Electrocardiograph; Heart Disease; Hrt; Painter's colic; PB; Plumbism; Point in time; QNT; Quan; Quant; Quantitative; R prime; R' wave Amp L-I; R wave Amp L-I; Random; Right; Voltage,R' wave Amp L-I,Observation,,,mV,R' wave amplitude in lead I,mV,,,,0,0,,,,,,1.0i,,
103631-8,Natalizumab,MCnc,Pt,Ser,Ord,IA,DRUG/TOX,2.79,ADD,,ACTIVE,,1,,,,,N,DRUG/TOXICOLOGY; Drugs; EIA; ELFA; ELISA; Enzyme immunoassay; IAA; Level; Mass concentration; MEIA; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Serum; SR; SUDS; Tysabri,Natalizumab Ser Ql IA,Both,,,ug/mL,Natalizumab [Mass/volume] in Serum by Immunoassay,ug/mL,,,,0,0,,,,,,2.79,,Natalizumab IA Ql (S)
93488-5,Guanidinoacetate,SCnc,Pt,Bld.dot,Qn,,CHEM,2.67,ADD,,ACTIVE,,1,,,,,,Blood; Chemistry; DBS; Dried blood spot; Filter paper; FP; GAA; glycocyamine; guanidinoacetic acid; guanidoacetic acid; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; WB; Whole blood,Guanidinoacetate DBS-sCnc,Both,,,umol/L,Guanidinoacetate [Moles/volume] in DBS,umol/L,,,,0,0,,,,,,2.67,,Guanidinoacetate (DBS) [Moles/Vol]
10368-9,Lead,MCnc,Pt,BldC,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Blood - capillary; Cap bld; Cap blood; Capillary bld; Capillary blood; Capillary Lead Screen; DRUG/TOXICOLOGY; Drugs; Finger stick; Lead Screen Filter Paper; Level; Mass concentration; Painter's colic; PB; Plumbism; Point in time; QNT; Quan; Quant; Quantitative; Random,Lead BldC-mCnc,Both,,,ug/dL,Lead [Mass/volume] in Capillary blood,ug/dL,,,Added Demographics Panel.,1562,0,,,,80399-9,79191-3,1.0i,,Lead (BldC) [Mass/Vol]
5671-3,Lead,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,MIN,,DISCOURAGED,,1,,,,,Y,Blood; DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Painter's colic; PB; Plumbism; Point in time; QNT; Quan; Quant; Quantitative; Random; UniversalLabOrders; WB; Whole blood,Lead Bld-mCnc,Both,,,mcg/dL; mcg/mL,Lead [Mass/volume] in Blood,ug/dL,,Use venous or capillary as reference ranges are different.,Discouraged as a more specific specimen should be selected because reference ranges for venous and capillary blood are different. Added Demographics Panel.,910,143,,,,80399-9,79191-3,1,,Lead (Bld) [Mass/Vol]
77307-7,Lead,MCnc,Pt,BldV,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Painter's colic; PB; Plumbism; Point in time; QNT; Quan; Quant; Quantitative; Random; Venous,Lead BldV-mCnc,Both,,,ug/dL,Lead [Mass/volume] in Venous blood,ug/dL,,,Added Demographics Panel.,1798,0,,,,80399-9,79191-3,2.52,,Lead (BldV) [Mass/Vol]
107188-5,Bacteria,Prid,Pt,Abscess,Nom,Anaerobic culture,MICRO,2.79,ADD,,ACTIVE,,1,,,,,N,Absc; Anaero; Anaerobe; Anaerobe Cult; Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Point in time; Random,Bacteria Absc Anaerobe Cult,Both,,,,Bacteria identified in Abscess by Anaerobe culture,,,,,0,0,,,,,,2.79,,Bacteria identified Anaer cx Nom (Abscess)
595-9,Bacteria,Prid,Pt,Abscess,Nom,Aerobic culture,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Absc; Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; UniversalLabOrders,Bacteria Absc Aerobe Cult,Both,,,,Bacteria identified in Abscess by Aerobe culture,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",3258,218,,,,,,1,,Bacteria identified Aer cx Nom (Abscess)
63426-1,Bacterial heat-stable enterotoxin ST gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,MICRO,2.69,MIN,,ACTIVE,,1,,"detected, not detected",,,N,3 Self-Sustaining Sequence Replication; 3SR SR; Amplif; Amplification; Amplified; Bact; DNA NUCLEIC ACID PROBE; DNA probe; Etx; Heat-stable enterotoxin gene; ID; Infectious Disease; InfectiousDisease; LAT; LCR; Ligase chain reaction; Ligation-activated transcription; Microbiology; Misc; Miscellaneous; NAA+probe; NAAT; NASBA; Nucleic acid sequence based analysis; Ordinal; Other; PCR; Point in time; Polymerase chain reaction; PR; Probe amp; Probe with ampification; Probe with target amplification; QBR; QL; Qual; Qualitative; Random; Screen; SDA; Spec; Strand Displacement Amplification; TMA; To be specified in another part of the message; Transcription mediated amplification; Unspecified,ST Spec Ql NAA+probe,Both,,,,Bacterial heat-stable enterotoxin ST gene [Presence] in Specimen by NAA with probe detection,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.; Removed parentheses around the gene name in the Component based on the current LOINC model.",0,0,,,,,,2.36,,Bacterial heat-stable enterotoxin ST gene NAA+probe Ql (Specimen)
