LoincNumber,LongCommonName,AnswerListId,AnswerListName,AnswerListLinkType,ApplicableContext
101906-6,Noninvasive esophageal cancer DNA and esophageal cell screening [Presence] in Esophagus by Sequencing,LL2021-5,Pos|Neg|Invalid,EXAMPLE,
101911-6,Troponin T. cardiac [Mass/volume] in 2 hour 5th generation Serum or Plasma,LL360-9,Pos|Neg,EXAMPLE,
101912-4,Troponin T.cardiac delta [Mass concentration difference] in 2 hour Serum or Plasma,LL360-9,Pos|Neg,EXAMPLE,
101913-2,Troponin T.cardiac delta/Troponin T.cardiac in 2 hour Serum or Plasma --baseline,LL360-9,Pos|Neg,EXAMPLE,
101914-0,Troponin T.cardiac delta [Interpretation] in 2 hour Serum or Plasma Qualitative,LL360-9,Pos|Neg,EXAMPLE,
101915-7,Troponin T.cardiac [Mass/volume] in 6 hour Serum or Plasma,LL360-9,Pos|Neg,EXAMPLE,
101916-5,Troponin T.cardiac delta [Mass concentration difference] in 6 hour Serum or Plasma,LL360-9,Pos|Neg,EXAMPLE,
101917-3,Troponin T.cardiac delta/Troponin T.cardiac in 6 hour Serum or Plasma --baseline,LL360-9,Pos|Neg,EXAMPLE,
101918-1,Troponin T.cardiac delta [Interpretation] in 6 hour Serum or Plasma Qualitative,LL360-9,Pos|Neg,EXAMPLE,
101951-2,NIPS assessment (interpretation),LL5953-6,NIPS - Pain Interpretation,NORMATIVE,
101969-4,Deprecated Facial expression,LL6344-7,Facial expression (Not NIPS-specific),NORMATIVE,
101970-2,Breathing patterns,LL5947-8,Breathing patterns,NORMATIVE,
101971-0,Cry,LL6345-4,Cry,NORMATIVE,
101972-8,State of arousal,LL5952-8,NIPS - State of arousal,NORMATIVE,
101973-6,Total score (0 to 7),LL6349-6,Total score (0 to 7) - NIPS,NORMATIVE,
101974-4,Arms,LL6348-8,Arms,NORMATIVE,
101975-1,Legs,LL6342-1,Legs,NORMATIVE,
101994-2,Foundation pain index Document by based on lab data,LL6343-9,Foundation Pain Index Score,EXAMPLE,
102011-4,"Have you experienced a frightening, horrible, or traumatic event [PC-PTSD-5]",LL6359-5,Y/N score,NORMATIVE,
102012-2,Have you had nightmares or thoughts about the event(s) when you did not want to [PC-PTSD-5],LL6359-5,Y/N score,NORMATIVE,
102013-0,Have you tried not to think about or avoided situations that reminded you of the event(s) [PC-PTSD-5],LL6359-5,Y/N score,NORMATIVE,
102014-8,"Have you been constantly on guard, watchful, or easily startled [PC-PTSD-5]",LL6359-5,Y/N score,NORMATIVE,
102015-5,"Have you felt numb or detached from people, activities, or your surroundings [PC-PTSD-5]",LL6359-5,Y/N score,NORMATIVE,
102016-3,Have you felt guilty or unable to stop blaming yourself or others for the event(s) or any problems the event(s) may have caused [PC-PTSD-5],LL6359-5,Y/N score,NORMATIVE,
102030-4,Ki-67 Nuclear Ag and p16INK4a Ag Ag [Presence] in Body fluid by Immune stain,LL3950-4,Present | Absent,EXAMPLE,
102050-2,Diabetic diagnosis [Identifier],LL6350-4,Metabolic syndrome,EXAMPLE,
102080-9,CAR-T cell [Type] in Blood product unit,LL6356-1,CAR-T Blood Products,EXAMPLE,
102120-3,Carbapenemase [Type] in Isolate by Immunoassay,LL6358-7,Carbapenemases families detection,EXAMPLE,
102124-5,Sesamum indicum 1 IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102125-2,Abalone IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102126-0,Wattle IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102127-8,Corticotropin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102128-6,White Alder IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102129-4,Smooth Alder IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102130-2,Alfalfa IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102131-0,Alkalase IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102132-8,Allspice IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102133-6,Almond IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102134-4,Almond Tree IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102135-1,Lactalbumin alpha IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102136-9,Alternaria alternata IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102137-7,Amoxicillin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102138-5,Ampicillin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102139-3,Anchovy IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102140-1,Anisakis IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102141-9,Anise IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102142-7,Red Imported Fire Ant IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102143-5,Apple IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102144-3,Apple Tree IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102145-0,Apricot IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102146-8,Arrowroot IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102147-6,Artichoke IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102148-4,Ascaris sp IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102149-2,Arizona Ash IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102150-0,White Ash IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102151-8,Asparagus IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102152-6,Aspen IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102153-4,Aspergillus fumigatus IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102154-2,Aspergillus niger IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102155-9,Avocado IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102156-7,Groundsel Tree IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102157-5,Bamboo shoot IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102158-3,Banana IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102159-1,Barley IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102160-9,Barley Pollen IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102161-7,Basil IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102162-5,"Bass, Black IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)",LL1927-4,RAST,EXAMPLE,
102163-3,Fivehook Bassia IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102164-1,Bayberry IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102165-8,Bayleaf IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102166-6,Castor Bean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102167-4,Green Coffee Bean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102168-2,Green Bean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102169-0,Red Kidney Bean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102170-8,Lima Bean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102171-6,Pinto Bean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102172-4,Soybean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102173-2,White Bean IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102174-0,Honey bee IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102175-7,American Beech IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102176-5,Beef IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102177-3,Beet IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102178-1,Sugar Beet Seed (Beta vulgaris seed) IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102179-9,Berlin Beetle IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102180-7,Lactalbumin beta IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102181-5,Beta lactoglobulin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102182-3,Silver Birch IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102183-1,Blackberry IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102184-9,Blomia tropicalis IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102185-6,Bloodworm IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102186-4,Blueberry IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102187-2,Botrytis cinerea IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102188-0,Boxelder IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102189-8,Brazil Nut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102190-6,Broccoli IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102191-4,Bromelin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102192-2,Brussel Sprouts IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102193-0,Bovine serum albumin (BSA) IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102194-8,Buckwheat IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102195-5,Budgerigar feather IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102196-3,Bumble Bee IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102197-1,Burrobrush IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102198-9,Burweed marshelder IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102199-7,Cabbage IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102200-3,Cocoa IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102201-1,Canary feather IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102202-9,Candida albicans IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102203-7,Starfruit IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102204-5,Caraway IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102205-2,Careless Weed IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102206-0,Carob IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102207-8,Carrot IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102208-6,Casein IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102209-4,Cashew nut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102210-2,Cat dander IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102211-0,Catfish IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102212-8,Cauliflower IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102213-6,Italian Cedar IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102214-4,Japanese Cedar IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102215-1,Mountain Juniper IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102216-9,Red Cedar IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102217-7,Saltcedar IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102218-5,Celery IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102219-3,Acremonium sp IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102220-1,Chaetomium globosum IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102221-9,Chamomile IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102222-7,American Cheese IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102223-5,Cheese cheddar type IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102224-3,Cottage Cheese IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102225-0,Mozzarella Cheese IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102226-8,Parmesan Cheese IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102227-6,Swiss Cheese IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102228-4,Cherry IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102229-2,Chestnut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102230-0,Horse Chestnut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102231-8,Chestnut Pollen IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102232-6,Chicken feather IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102233-4,Chicken meat IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102234-2,Chicory IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102235-9,Chinchilla IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102236-7,Chloramin T IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102237-5,Chortoglyphus arcuatus IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102238-3,Chymopapain IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102239-1,Cinnamon IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102240-9,Cladosporium herbarum IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102241-7,Clam IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102242-5,Clove IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102243-3,Clover IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102244-1,Cocklebur IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102245-8,Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102246-6,Coconut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102247-4,Codfish IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102248-2,Coffee IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102249-0,Cola IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102250-8,Corn IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102251-6,Cultivated Corn IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102252-4,Cultivated Cotton IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102253-2,Cotton fibers IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102254-0,Cotton western IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102255-7,Cottonseed IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102256-5,Cottonwood IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102257-3,Western Cottonwood IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102258-1,Cow dander IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102259-9,Cow epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102260-7,Crab IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102261-5,Cranberry IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102262-3,Crawfish IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102263-1,Cryptococcus terreus IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102264-9,Cucumber IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102265-6,Curry IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102266-4,Curvularia lunata IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102267-2,Curvularia specifera IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102268-0,Arizona Cypress IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102269-8,Bald Cypress IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102270-6,Italian Cypress IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102271-4,Daisy IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102272-2,Ox-eye daisy IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102273-0,Dandelion IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102274-8,Daphnia (fish feed) IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102275-5,Date Palm Pollen IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102276-3,Deer epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102277-1,American house dust mite IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102278-9,Dermatophagoides microceras IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102279-7,European house dust mite IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102280-5,Dill IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102281-3,Yellow Dock IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102282-1,Dog dander IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102283-9,Dog epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102284-7,Duck feather IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102285-4,Echinococcus sp IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102286-2,Egg white IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102287-0,Whole Egg IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102288-8,Egg yolk IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102289-6,Eggplant IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102290-4,Rough Marsh Elder IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102291-2,Elder IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102292-0,Elk or Moose Meat IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102293-8,White Elm IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102294-6,Chinese Elm IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102295-3,Endive IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102296-1,Epicoccum purpurascens IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102297-9,Epidermophyton floccosum IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102298-7,Ethylene oxide IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102299-5,Gum-Tree IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102300-1,Euroglyphus maynei IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102301-9,Dog Fennel IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102302-7,Fennel Fresh IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102303-5,Fennel Seed IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102304-3,Ferret epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102305-0,Meadow Fescue IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102306-8,Finch feather IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102307-6,Douglas Fir IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102308-4,Firebush IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102309-2,Fiscus sp IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102310-0,Flea IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102311-8,Flounder IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102312-6,Black Fly IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102313-4,Horse Fly IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102314-2,Formaldehyde IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102315-9,Fox IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102316-7,Meadow Foxtail IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102317-5,Fusarium culmorum IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102318-3,Fusarium moniliforme IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102319-1,Fusarium solani IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102320-9,Garlic IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102321-7,Gelatin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
