LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,SHORTNAME,LONG_COMMON_NAME,RELATEDNAMES2,LinguisticVariantDisplayName
10995-9,Neomicina,Concentración de masa,Punto temporal,Suero o Plasma,Cuantitativo,,,,Neomicina: Suero o Plasma : Punto temporal: Concentración de masa: Cuantitativo:,,
11001-5,Pirazinamida,Concentración de masa,Punto temporal,Suero o Plasma,Cuantitativo,,,,Pirazinamida: Suero o Plasma : Punto temporal: Concentración de masa: Cuantitativo:,,
11237-5,hidrALAZINA,Concentración de masa,Punto temporal,Suero o Plasma,Cuantitativo,,,,hidrALAZINA: Suero o Plasma : Punto temporal: Concentración de masa: Cuantitativo:,,
11172-4,Epitelio de hurón Ab.IgE,Concentración arbitraria,Punto temporal,Suero,Cuantitativo,,,,Epitelio de hurón Ab.IgE: Suero : Punto temporal: Concentración arbitraria: Cuantitativo:,,
11602-0,Shigella boydii Ab,Concentración arbitraria,Punto temporal,Suero,Cuantitativo,,,,Shigella boydii Ab: Suero : Punto temporal: Concentración arbitraria: Cuantitativo:,,
11605-3,Virus de la coriomeningitis linfocítica Ab,Concentración arbitraria,Punto temporal,Suero,Cuantitativo,,,,Virus de la coriomeningitis linfocítica Ab: Suero : Punto temporal: Concentración arbitraria: Cuantitativo:,,
1137-9,L sub u super sub a Ag,Presencia o umbral,Punto temporal,Eritrocitos ^ Donante,Ordinal,,,,L sub u super sub a Ag: Eritrocitos Donante: Punto temporal: Presencia o umbral: Ordinal:,,
11684-8,Velocidad de flujo sanguíneo media,Vel,Punto temporal,Arteria ovárica derecha,Cuantitativo,US.doppler,,,Velocidad de flujo sanguíneo media:Arteria ovárica derecha :Punto temporal:Vel:Cuantitativo:US.doppler,,
11964-4,Eje largo,Len,Punto temporal,"Peroné, diáfisis ^ feto",Cuantitativo,US.measured,,,"Eje largo:Peroné, diáfisis feto:Punto temporal:Len:Cuantitativo:US.measured",,
12078-2,Observación del estudio,Tipo,Punto temporal,Corazón grandes vasos ^ feto,Narrativo,US,,,Observación del estudio:Corazón grandes vasos feto:Punto temporal:Tipo:Narrativo:US,,
12342-2,oxyMORphone,Presencia o umbral,Punto temporal,Suero o Plasma,Ordinal,,,,oxyMORphone: Suero o Plasma : Punto temporal: Presencia o umbral: Ordinal:,,
12420-6,Tiosulfato,Concentración de masa,Punto temporal,Orina,Cuantitativo,,,,Tiosulfato: Orina : Punto temporal: Concentración de masa: Cuantitativo:,,
12570-8,Cortisol ^ post XXX desafío,Concentración de masa,Punto temporal,Suero o Plasma,Cuantitativo,,,,Cortisol : Suero o Plasma : Punto temporal: Concentración de masa: Cuantitativo:,,
