resource_type,owner_id,source,id,name,description,canonical_url,concept_class,publisher,source_type,default_locale,public_access,hierarchy_root_url,attr:hierarchy_level,attr:Classification_Place,attr:chapter_number,attr:Terminal_Node,parent_concept_urls
Concept,WHO,ICD-10-WHO,11,Diseases of the digestive system,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,12,Diseases of the skin and subcutaneous tissue,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,13,Diseases of the musculoskeletal system and connective tissue,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,14,Diseases of the genitourinary system,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,15,"Pregnancy, childbirth and the puerperium",,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,16,Certain conditions originating in the perinatal period,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,17,"Congenital malformations, deformations and chromosomal abnormalities",,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,19,"Injury, poisoning and certain other consequences of external causes",,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,20,External causes of morbidity and mortality,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,21,Factors influencing health status and contact with health services,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,22,Codes for special purposes,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,A00-A09,Intestinal infectious diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A15-A19,Tuberculosis,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A20-A28,Certain zoonotic bacterial diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A30-A49,Other bacterial diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A50-A64,Infections with a predominantly sexual mode of transmission,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A65-A69,Other spirochaetal diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A70-A74,Other diseases caused by chlamydiae,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A75-A79,Rickettsioses,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A80-A89,Viral infections of the central nervous system,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B00-B09,Viral infections characterized by skin and mucous membrane lesions,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B15-B19,Viral hepatitis,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B20-B24,Human immunodeficiency virus [HIV] disease,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B25-B34,Other viral diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B35-B49,Mycoses,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B50-B64,Protozoal diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B65-B83,Helminthiases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B85-B89,"Pediculosis, acariasis and other infestations",,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B90-B94,Sequelae of infectious and parasitic diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B95-B98,"Bacterial, viral and other infectious agents",,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,B99-B99,Other infectious diseases,,,Group,,,,,,2,N,1,,[/orgs/WHO/sources/ICD-10-WHO/concepts/1/]
Concept,WHO,ICD-10-WHO,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C15-C26,Malignant neoplasms of digestive organs,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C40-C41,Malignant neoplasms of bone and articular cartilage,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C43-C44,Melanoma and other malignant neoplasms of skin,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C45-C49,Malignant neoplasms of mesothelial and soft tissue,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C50-C50,Malignant neoplasm of breast,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C51-C58,Malignant neoplasms of female genital organs,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C60-C63,Malignant neoplasms of male genital organs,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C64-C68,Malignant neoplasms of urinary tract,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,C97-C97,Malignant neoplasms of independent (primary) multiple sites,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,D00-D09,In situ neoplasms,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,D10-D36,Benign neoplasms,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,D37-D48,Neoplasms of uncertain or unknown behaviour,,,Group,,,,,,2,N,2,,[/orgs/WHO/sources/ICD-10-WHO/concepts/2/]
Concept,WHO,ICD-10-WHO,D50-D53,Nutritional anaemias,,,Group,,,,,,2,N,3,,[/orgs/WHO/sources/ICD-10-WHO/concepts/3/]
Concept,WHO,ICD-10-WHO,D55-D59,Haemolytic anaemias,,,Group,,,,,,2,N,3,,[/orgs/WHO/sources/ICD-10-WHO/concepts/3/]
Concept,WHO,ICD-10-WHO,D60-D64,Aplastic and other anaemias,,,Group,,,,,,2,N,3,,[/orgs/WHO/sources/ICD-10-WHO/concepts/3/]
Concept,WHO,ICD-10-WHO,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",,,Group,,,,,,2,N,3,,[/orgs/WHO/sources/ICD-10-WHO/concepts/3/]
Concept,WHO,ICD-10-WHO,D70-D77,Other diseases of blood and blood-forming organs,,,Group,,,,,,2,N,3,,[/orgs/WHO/sources/ICD-10-WHO/concepts/3/]
Concept,WHO,ICD-10-WHO,D80-D89,Certain disorders involving the immune mechanism,,,Group,,,,,,2,N,3,,[/orgs/WHO/sources/ICD-10-WHO/concepts/3/]
Concept,WHO,ICD-10-WHO,E00-E07,Disorders of thyroid gland,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,E10-E14,Diabetes mellitus,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,E20-E35,Disorders of other endocrine glands,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,E40-E46,Malnutrition,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,E50-E64,Other nutritional deficiencies,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,E65-E68,Obesity and other hyperalimentation,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,E70-E90,Metabolic disorders,,,Group,,,,,,2,N,4,,[/orgs/WHO/sources/ICD-10-WHO/concepts/4/]
Concept,WHO,ICD-10-WHO,F00-F09,"Organic, including symptomatic, mental disorders",,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F10-F19,Mental and behavioural disorders due to psychoactive substance use,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F20-F29,"Schizophrenia, schizotypal and delusional disorders",,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F30-F39,Mood [affective] disorders,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F40-F48,"Neurotic, stress-related and somatoform disorders",,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F60-F69,Disorders of adult personality and behaviour,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F70-F79,Mental retardation,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F80-F89,Disorders of psychological development,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,F99-F99,Unspecified mental disorder,,,Group,,,,,,2,N,5,,[/orgs/WHO/sources/ICD-10-WHO/concepts/5/]
Concept,WHO,ICD-10-WHO,G00-G09,Inflammatory diseases of the central nervous system,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G10-G14,Systemic atrophies primarily affecting the central nervous system,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G20-G26,Extrapyramidal and movement disorders,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G30-G32,Other degenerative diseases of the nervous system,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G35-G37,Demyelinating diseases of the central nervous system,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G40-G47,Episodic and paroxysmal disorders,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G50-G59,"Nerve, nerve root and plexus disorders",,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G70-G73,Diseases of myoneural junction and muscle,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G80-G83,Cerebral palsy and other paralytic syndromes,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,G90-G99,Other disorders of the nervous system,,,Group,,,,,,2,N,6,,[/orgs/WHO/sources/ICD-10-WHO/concepts/6/]
Concept,WHO,ICD-10-WHO,H00-H06,"Disorders of eyelid, lacrimal system and orbit",,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H10-H13,Disorders of conjunctiva,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H25-H28,Disorders of lens,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H30-H36,Disorders of choroid and retina,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H40-H42,Glaucoma,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H43-H45,Disorders of vitreous body and globe,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H46-H48,Disorders of optic nerve and visual pathways,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H53-H54,Visual disturbances and blindness,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H55-H59,Other disorders of eye and adnexa,,,Group,,,,,,2,N,7,,[/orgs/WHO/sources/ICD-10-WHO/concepts/7/]
Concept,WHO,ICD-10-WHO,H60-H62,Diseases of external ear,,,Group,,,,,,2,N,8,,[/orgs/WHO/sources/ICD-10-WHO/concepts/8/]
Concept,WHO,ICD-10-WHO,H65-H75,Diseases of middle ear and mastoid,,,Group,,,,,,2,N,8,,[/orgs/WHO/sources/ICD-10-WHO/concepts/8/]
Concept,WHO,ICD-10-WHO,H80-H83,Diseases of inner ear,,,Group,,,,,,2,N,8,,[/orgs/WHO/sources/ICD-10-WHO/concepts/8/]
Concept,WHO,ICD-10-WHO,H90-H95,Other disorders of ear,,,Group,,,,,,2,N,8,,[/orgs/WHO/sources/ICD-10-WHO/concepts/8/]
Concept,WHO,ICD-10-WHO,I00-I02,Acute rheumatic fever,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I05-I09,Chronic rheumatic heart diseases,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I10-I15,Hypertensive diseases,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I20-I25,Ischaemic heart diseases,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I30-I52,Other forms of heart disease,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I60-I69,Cerebrovascular diseases,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I70-I79,"Diseases of arteries, arterioles and capillaries",,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,I95-I99,Other and unspecified disorders of the circulatory system,,,Group,,,,,,2,N,9,,[/orgs/WHO/sources/ICD-10-WHO/concepts/9/]
Concept,WHO,ICD-10-WHO,J00-J06,Acute upper respiratory infections,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J09-J18,Influenza and pneumonia,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J20-J22,Other acute lower respiratory infections,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J30-J39,Other diseases of upper respiratory tract,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J40-J47,Chronic lower respiratory diseases,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J60-J70,Lung diseases due to external agents,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J80-J84,Other respiratory diseases principally affecting the interstitium,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J90-J94,Other diseases of pleura,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,J95-J99,Other diseases of the respiratory system,,,Group,,,,,,2,N,10,,[/orgs/WHO/sources/ICD-10-WHO/concepts/10/]
Concept,WHO,ICD-10-WHO,K00-K14,"Diseases of oral cavity, salivary glands and jaws",,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K20-K31,"Diseases of oesophagus, stomach and duodenum",,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K35-K38,Diseases of appendix,,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K40-K46,Hernia,,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K50-K52,Noninfective enteritis and colitis,,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K55-K64,Other diseases of intestines,,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K65-K67,Diseases of peritoneum,,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K70-K77,Diseases of liver,,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,K90-K93,Other diseases of the digestive system,,,Group,,,,,,2,N,11,,[/orgs/WHO/sources/ICD-10-WHO/concepts/11/]
Concept,WHO,ICD-10-WHO,L00-L08,Infections of the skin and subcutaneous tissue,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,L10-L14,Bullous disorders,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,L20-L30,Dermatitis and eczema,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,L40-L45,Papulosquamous disorders,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,L50-L54,Urticaria and erythema,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,L60-L75,Disorders of skin appendages,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,L80-L99,Other disorders of the skin and subcutaneous tissue,,,Group,,,,,,2,N,12,,[/orgs/WHO/sources/ICD-10-WHO/concepts/12/]
Concept,WHO,ICD-10-WHO,M00-M03,Infectious arthropathies,,,Group,,,,,,2,N,13,,[/orgs/WHO/sources/ICD-10-WHO/concepts/13/]
Concept,WHO,ICD-10-WHO,M05-M14,Inflammatory polyarthropathies,,,Group,,,,,,2,N,13,,[/orgs/WHO/sources/ICD-10-WHO/concepts/13/]
Concept,WHO,ICD-10-WHO,M15-M19,Arthrosis,,,Group,,,,,,2,N,13,,[/orgs/WHO/sources/ICD-10-WHO/concepts/13/]
Concept,WHO,ICD-10-WHO,M20-M25,Other joint disorders,,,Group,,,,,,2,N,13,,[/orgs/WHO/sources/ICD-10-WHO/concepts/13/]
Concept,WHO,ICD-10-WHO,M30-M36,Systemic connective tissue disorders,,,Group,,,,,,2,N,13,,[/orgs/WHO/sources/ICD-10-WHO/concepts/13/]
Concept,WHO,ICD-10-WHO,M40-M43,Deforming dorsopathies,,,Group,,,,,,2,N,13,,[/orgs/WHO/sources/ICD-10-WHO/concepts/13/]
