AnswerListId,AnswerListName,AnswerListOID,ExtDefinedYN,ExtDefinedAnswerListCodeSystem,ExtDefinedAnswerListLink,AnswerStringId,LocalAnswerCode,LocalAnswerCodeSystem,SequenceNumber,DisplayText,ExtCodeId,ExtCodeDisplayName,ExtCodeSystem,ExtCodeSystemVersion,ExtCodeSystemCopyrightNotice,SubsequentTextPrompt,Description,Score
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA12688-0,99,,12,Don't know,4.57E+14,Do not know (qualifier value),http://snomed.info/sct,http://snomed.info/sct/731000124108/version/20240901,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,
LL1002-6,PhenX05_15_30D cereal amt,1.3.6.1.4.1.12009.10.1.167,N,,,LA13872-9,1,,1,"Cooked cereals (such as oatmeal, cream of wheat, grits)",,,,,,,,
LL1002-6,PhenX05_15_30D cereal amt,1.3.6.1.4.1.12009.10.1.167,N,,,LA13864-6,2,,2,"All bran cereals (such as All Bran®, Fiber One®, 100% Bran®, or Bran Buds®)",,,,,,,,
LL1002-6,PhenX05_15_30D cereal amt,1.3.6.1.4.1.12009.10.1.167,N,,,LA13870-3,3,,3,"Cereals with some bran or fiber (such as Cheerios®, Raisin Bran®, Shredded Wheat®, Total®, Wheaties®, 40% Bran flakes®, Granola, Grape Nuts®, Muselix®, etc.)",,,,,,,,
LL1002-6,PhenX05_15_30D cereal amt,1.3.6.1.4.1.12009.10.1.167,N,,,LA13869-5,4,,4,"Cereals with little bran or fiber (such as Corn Flakes®, Honey Nut Cheerios®, Froot Loops®, Rice Krispies®, Kix®, Frosted Flakes®, Special K®, Cap'n Crunch®, Blueberry Morning®, Product 19®, etc.)",,,,,,,,
LL1002-6,PhenX05_15_30D cereal amt,1.3.6.1.4.1.12009.10.1.167,N,,,LA46-8,5,,5,Other,,,,,,,,
LL1002-6,PhenX05_15_30D cereal amt,1.3.6.1.4.1.12009.10.1.167,N,,,LA4389-8,6,,6,Refused,,,,,,,,
LL1002-6,PhenX05_15_30D cereal amt,1.3.6.1.4.1.12009.10.1.167,N,,,LA12688-0,7,,7,Don't know,4.57E+14,Do not know (qualifier value),http://snomed.info/sct,http://snomed.info/sct/731000124108/version/20240901,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13894-3,1,,1,Never or less than 1 time per month,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13836-4,2,,2,1-3 times per month,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13829-9,3,,3,1 time per week,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13846-3,4,,4,2-4 times per week,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13860-4,5,,5,5-6 times per week,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13827-3,6,,6,1 time per day,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13844-8,7,,7,2-3 times per day,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13856-2,8,,8,4-5 times per day,,,,,,,,
LL1003-4,PhenX05_16_beverage amts,1.3.6.1.4.1.12009.10.1.168,N,,,LA13861-2,9,,9,6 or more times per day,,,,,,,,
LL1004-2,PhenX05_17_serving size,1.3.6.1.4.1.12009.10.1.169,N,,,LA8983-4,1,,1,Small,255507004,Small (qualifier value),http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20240701,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,
LL1004-2,PhenX05_17_serving size,1.3.6.1.4.1.12009.10.1.169,N,,,LA8982-6,2,,2,Medium,,,,,,,,
LL1004-2,PhenX05_17_serving size,1.3.6.1.4.1.12009.10.1.169,N,,,LA8981-8,3,,3,Large,255509001,Large (qualifier value),http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20240701,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,
LL1005-9,PhenX05_18_dietary supplements,1.3.6.1.4.1.12009.10.1.170,N,,,LA33-6,1,,1,Yes,373066001,Yes (qualifier value),http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20240701,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,
LL1005-9,PhenX05_18_dietary supplements,1.3.6.1.4.1.12009.10.1.170,N,,,LA32-8,2,,2,No,373067005,No (qualifier value),http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20240701,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,
LL1006-7,PhenX05_19_vitamin freq,1.3.6.1.4.1.12009.10.1.171,N,,,LA13830-7,1,,1,1 to 3 times a week,,,,,,,,
LL1006-7,PhenX05_19_vitamin freq,1.3.6.1.4.1.12009.10.1.171,N,,,LA13855-4,2,,2,4 to 6 times a week,,,,,,,,
LL1006-7,PhenX05_19_vitamin freq,1.3.6.1.4.1.12009.10.1.171,N,,,LA13897-6,3,,3,Once a day,,,,,,,,
LL1007-5,PhenX05_20_Ys vitamin use,1.3.6.1.4.1.12009.10.1.172,N,,,LA13831-5,1,,1,1 year or less,,,,,,,,
LL1007-5,PhenX05_20_Ys vitamin use,1.3.6.1.4.1.12009.10.1.172,N,,,LA13841-4,2,,2,2 to 4 years,,,,,,,,
LL1007-5,PhenX05_20_Ys vitamin use,1.3.6.1.4.1.12009.10.1.172,N,,,LA13859-6,3,,3,5 to 9 years,,,,,,,,
LL1007-5,PhenX05_20_Ys vitamin use,1.3.6.1.4.1.12009.10.1.172,N,,,LA13833-1,4,,4,10 years or more,,,,,,,,
LL1008-3,PhenX05_21_vit C amt,1.3.6.1.4.1.12009.10.1.173,N,,,LA13847-1,1,,1,250 mg or less,,,,,,,,
LL1008-3,PhenX05_21_vit C amt,1.3.6.1.4.1.12009.10.1.173,N,,,LA13852-1,2,,2,300 to 500 mg,,,,,,,,
LL1008-3,PhenX05_21_vit C amt,1.3.6.1.4.1.12009.10.1.173,N,,,LA13862-0,3,,3,600 to 1000 mg,,,,,,,,
LL1008-3,PhenX05_21_vit C amt,1.3.6.1.4.1.12009.10.1.173,N,,,LA13891-9,4,,4,More than 1000 mg,,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4347-6,0,,1,Radiation Rx Performed,,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4348-4,1,,2,Radiation Rx not recommended,,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4217-1,2,,3,"Contraindicated, Autopsy Only",,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4644-6,5,,4,Patient Died Prior to Treatment,,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4393-0,6,,5,Reason Unknown for Rad Rx,,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4389-8,7,,6,Refused,,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4353-4,8,,7,Rad Rx Recommend but unknown of Admin,,,,,,,,
LL100-9,CR_1430_Reason no radiation,1.3.6.1.4.1.12009.10.1.174,N,,,LA4444-1,9,,8,Unknown - Death Cert Only,,,,,,,,
LL1009-1,PhenX05_22_vit E amt,1.3.6.1.4.1.12009.10.1.175,N,,,LA13843-0,1,,1,200 IU or less,,,,,,,,
LL1009-1,PhenX05_22_vit E amt,1.3.6.1.4.1.12009.10.1.175,N,,,LA13848-9,2,,2,250 to 400 IU,,,,,,,,
LL1009-1,PhenX05_22_vit E amt,1.3.6.1.4.1.12009.10.1.175,N,,,LA13857-0,3,,3,450 to 1000 IU,,,,,,,,
LL1009-1,PhenX05_22_vit E amt,1.3.6.1.4.1.12009.10.1.175,N,,,LA13890-1,4,,4,More than 1000 IU,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA6270-8,1,,1,Never,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA6251-8,2,,2,Less than once a month,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA13836-4,3,,3,1-3 times per month,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA13834-9,4,,4,1-2 times per week,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA13853-9,5,,5,3-4 times per week,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA13860-4,6,,6,5-6 times per week,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA13827-3,7,,7,1 time per day,,,,,,,,
LL1010-9,PhenX05_23_food freq,1.3.6.1.4.1.12009.10.1.176,N,,,LA13837-2,8,,8,2 or more times per day,,,,,,,,
LL1011-7,PhenX05_24_margarine freq,1.3.6.1.4.1.12009.10.1.177,N,,,LA13933-9,1,,1,Didn't use margarine,,,,,,,,
LL1011-7,PhenX05_24_margarine freq,1.3.6.1.4.1.12009.10.1.177,N,,,LA13866-1,2,,2,Almost never,,,,,,,,
LL1011-7,PhenX05_24_margarine freq,1.3.6.1.4.1.12009.10.1.177,N,,,LA13934-7,3,,3,About 1/4 of the time,,,,,,,,
LL1011-7,PhenX05_24_margarine freq,1.3.6.1.4.1.12009.10.1.177,N,,,LA13935-4,4,,4,About 1/2 of the time,,,,,,,,
LL1011-7,PhenX05_24_margarine freq,1.3.6.1.4.1.12009.10.1.177,N,,,LA13936-2,5,,5,About 3/4 of the time,,,,,,,,
LL1011-7,PhenX05_24_margarine freq,1.3.6.1.4.1.12009.10.1.177,N,,,LA13927-1,6,,6,Almost always or always,,,,,,,,
LL1012-5,[PROMIS] Excellent|Very good|Good|Fair|Poor,1.3.6.1.4.1.12009.10.1.178,N,,,LA9206-9,,,1,Excellent,,,,,,,,5
LL1012-5,[PROMIS] Excellent|Very good|Good|Fair|Poor,1.3.6.1.4.1.12009.10.1.178,N,,,LA13913-1,,,2,Very Good,,,,,,,,4
LL1012-5,[PROMIS] Excellent|Very good|Good|Fair|Poor,1.3.6.1.4.1.12009.10.1.178,N,,,LA8967-7,,,3,Good,,,,,,,,3
LL1012-5,[PROMIS] Excellent|Very good|Good|Fair|Poor,1.3.6.1.4.1.12009.10.1.178,N,,,LA8968-5,,,4,Fair,,,,,,,,2
LL1012-5,[PROMIS] Excellent|Very good|Good|Fair|Poor,1.3.6.1.4.1.12009.10.1.178,N,,,LA8969-3,,,5,Poor,,,,,,,,1
LL1013-3,[PROMIS] Completely|Mostly|Mod|A little|Not at all,1.3.6.1.4.1.12009.10.1.179,N,,,LA13937-0,,,1,Completely,,,,,,,,5
LL1013-3,[PROMIS] Completely|Mostly|Mod|A little|Not at all,1.3.6.1.4.1.12009.10.1.179,N,,,LA13938-8,,,2,Mostly,,,,,,,,4
LL1013-3,[PROMIS] Completely|Mostly|Mod|A little|Not at all,1.3.6.1.4.1.12009.10.1.179,N,,,LA13939-6,,,3,Moderately,,,,,,,,3
LL1013-3,[PROMIS] Completely|Mostly|Mod|A little|Not at all,1.3.6.1.4.1.12009.10.1.179,N,,,LA13940-4,,,4,A little,,,,,,,,2
LL1013-3,[PROMIS] Completely|Mostly|Mod|A little|Not at all,1.3.6.1.4.1.12009.10.1.179,N,,,LA6568-5,,,5,Not at all,,,,,,,,1
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA19102-5,,,1,0 - No pain,,,,,,,No pain,0
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA6112-2,,,2,1,,,,,,,,1
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA6113-0,,,3,2 or more,,,,,,,,2
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA6114-8,,,4,3,,,,,,,,3
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA6115-5,,,5,4,,,,,,,,4
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA10137-0,,,6,5,,,,,,,,5
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA10138-8,,,7,6,,,,,,,,6
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA10139-6,,,8,7,,,,,,,,7
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA10140-4,,,9,8,,,,,,,,8
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA10141-2,,,10,9,,,,,,,,9
LL1014-1,[PROMIS] 0-no pain|1|2|3|4|5|6|7|8|9|10-worst imag,1.3.6.1.4.1.12009.10.1.180,N,,,LA21948-7,,,11,10 - worst imaginable pain,,,,,,,,10
LL1015-8,[PROMIS] None|Mild|Moderate|Severe|Very severe,1.3.6.1.4.1.12009.10.1.181,N,,,LA137-2,,,1,None,260413007,None (qualifier value),http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20240701,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,1
LL1015-8,[PROMIS] None|Mild|Moderate|Severe|Very severe,1.3.6.1.4.1.12009.10.1.181,N,,,LA6752-5,,,2,Mild,,,,,,,,2
LL1015-8,[PROMIS] None|Mild|Moderate|Severe|Very severe,1.3.6.1.4.1.12009.10.1.181,N,,,LA6751-7,,,3,Moderate,6736007,Moderate (severity modifier) (qualifier value),http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20240701,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,3
LL1015-8,[PROMIS] None|Mild|Moderate|Severe|Very severe,1.3.6.1.4.1.12009.10.1.181,N,,,LA6750-9,,,4,Severe,,,,,,,,4
LL1015-8,[PROMIS] None|Mild|Moderate|Severe|Very severe,1.3.6.1.4.1.12009.10.1.181,N,,,LA13958-6,,,5,Very severe,,,,,,,,5
LL1016-6,[PROMIS] Never|Rarely|Sometimes|Often|Always,1.3.6.1.4.1.12009.10.1.182,N,,,LA6270-8,,,1,Never,,,,,,,,1
LL1016-6,[PROMIS] Never|Rarely|Sometimes|Often|Always,1.3.6.1.4.1.12009.10.1.182,N,,,LA10066-1,,,2,Rarely,,,,,,,,2
LL1016-6,[PROMIS] Never|Rarely|Sometimes|Often|Always,1.3.6.1.4.1.12009.10.1.182,N,,,LA10082-8,,,3,Sometimes,,,,,,,,3
LL1016-6,[PROMIS] Never|Rarely|Sometimes|Often|Always,1.3.6.1.4.1.12009.10.1.182,N,,,LA10044-8,,,4,Often,,,,,,,,4
LL1016-6,[PROMIS] Never|Rarely|Sometimes|Often|Always,1.3.6.1.4.1.12009.10.1.182,N,,,LA9933-8,,,5,Always,,,,,,,,5
LL101-7,CR_1440_Reason no chemo,1.3.6.1.4.1.12009.10.1.183,N,,,LA4184-3,1,,1,Chemo Not Recommended,,,,,,,,
LL101-7,CR_1440_Reason no chemo,1.3.6.1.4.1.12009.10.1.183,N,,,LA4179-3,2,,2,Chem Contraindicated,,,,,,,,
LL101-7,CR_1440_Reason no chemo,1.3.6.1.4.1.12009.10.1.183,N,,,LA4394-8,6,,3,Reason unknown,,,,,,,,
LL101-7,CR_1440_Reason no chemo,1.3.6.1.4.1.12009.10.1.183,N,,,LA4389-8,7,,4,Refused,,,,,,,,
LL101-7,CR_1440_Reason no chemo,1.3.6.1.4.1.12009.10.1.183,N,,,LA4181-9,8,,5,Chem recommended - Unknown if Admin,,,,,,,,
LL101-7,CR_1440_Reason no chemo,1.3.6.1.4.1.12009.10.1.183,N,,,LA4409-4,9,,6,Unknown if Recommended,,,,,,,,
LL101-7,CR_1440_Reason no chemo,1.3.6.1.4.1.12009.10.1.183,N,,,LA4185-0,0,,9,Chemotherapy Administered,,,,,,,,
LL1017-4,[PROMIS] Not at all|Lit bit|Somwh|Qte bit|Ver much,1.3.6.1.4.1.12009.10.1.184,N,,,LA6568-5,,,1,Not at all,,,,,,,,1
LL1017-4,[PROMIS] Not at all|Lit bit|Somwh|Qte bit|Ver much,1.3.6.1.4.1.12009.10.1.184,N,,,LA13863-8,,,2,A little bit,,,,,,,,2
LL1017-4,[PROMIS] Not at all|Lit bit|Somwh|Qte bit|Ver much,1.3.6.1.4.1.12009.10.1.184,N,,,LA13909-9,,,3,Somewhat,,,,,,,,3
LL1017-4,[PROMIS] Not at all|Lit bit|Somwh|Qte bit|Ver much,1.3.6.1.4.1.12009.10.1.184,N,,,LA13902-4,,,4,Quite a bit,,,,,,,,4
LL1017-4,[PROMIS] Not at all|Lit bit|Somwh|Qte bit|Ver much,1.3.6.1.4.1.12009.10.1.184,N,,,LA13914-9,,,5,Very much,,,,,,,,5
LL1018-2,[PROMIS] None|1 day|2-3 days|4-5 days|6-7 days,1.3.6.1.4.1.12009.10.1.185,N,,,LA137-2,,,1,None,260413007,None (qualifier value),http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20240701,"This material includes SNOMED Clinical Terms® (SNOMED CT®) which is used by permission of the International Health Terminology Standards Development Organisation (IHTSDO) under license. All rights reserved. SNOMED CT® was originally created by The College of American Pathologists. ""SNOMED"" and ""SNOMED CT"" are registered trademarks of the IHTSDO.    This material includes content from the US Edition to SNOMED CT, which is developed and maintained by the U.S. National Library of Medicine and is available to authorized UMLS Metathesaurus Licensees from the UTS Downloads site at https://uts.nlm.nih.gov.    Use of SNOMED CT content is subject to the terms and conditions set forth in the SNOMED CT Affiliate License Agreement. It is the responsibility of those implementing this product to ensure they are appropriately licensed and for more information on the license, including how to register as an Affiliate Licensee, please refer to http://www.snomed.org/snomed-ct/get-snomed-ct or info@snomed.org<mailto:info@snomed.org>.  This may incur a fee in SNOMED International non-Member countries.",,,1
LL1018-2,[PROMIS] None|1 day|2-3 days|4-5 days|6-7 days,1.3.6.1.4.1.12009.10.1.185,N,,,LA13943-8,,,2,1 day,,,,,,,,2
LL1018-2,[PROMIS] None|1 day|2-3 days|4-5 days|6-7 days,1.3.6.1.4.1.12009.10.1.185,N,,,LA13944-6,,,3,2-3 days,,,,,,,,3
